@relation Absenteeism_at_work_A_clustered

@attribute Instance_number numeric
@attribute ID {31.0,27.0,19.0,30.0,7.0,20.0,24.0,32.0,3.0,33.0,26.0,29.0,18.0,25.0,17.0,14.0,16.0,23.0,2.0,21.0,36.0,15.0,22.0,5.0,12.0,9.0,6.0,34.0,10.0,28.0,13.0,11.0,1.0,4.0,8.0,35.0}
@attribute Reason_for_absence {17.0,3.0,15.0,4.0,21.0,2.0,9.0,24.0,18.0,1.0,12.0,5.0,16.0,7.0,27.0,25.0,8.0,10.0,26.0,19.0,28.0,6.0,23.0,22.0,13.0,14.0,11.0,0.0}
@attribute Month_of_absence numeric
@attribute Day_of_the_week {5.0,2.0,3.0,4.0,6.0}
@attribute Seasons {4.0,1.0,2.0,3.0}
@attribute Transportation_expense numeric
@attribute Distance_from_Residence_to_Work numeric
@attribute Service_time numeric
@attribute Age numeric
@attribute Work_load_Average/day_ numeric
@attribute Hit_target numeric
@attribute Disciplinary_failure {1.0,0.0}
@attribute Education numeric
@attribute Son numeric
@attribute Social_drinker {1.0,0.0}
@attribute Social_smoker {1.0,0.0}
@attribute Pet numeric
@attribute Weight numeric
@attribute Height numeric
@attribute Body_mass_index numeric
@attribute Absenteeism_time_in_hours numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4}

@data
42,3.0,23.0,9,3.0,1.0,179,51,18,38,241476,92,0.0,1,0,1.0,0.0,0,89,170,31,4,cluster2
43,5.0,19.0,9,3.0,1.0,235,20,13,43,241476,92,0.0,1,1,1.0,0.0,0,106,167,38,8,cluster2
44,14.0,23.0,9,4.0,1.0,155,12,14,34,241476,92,0.0,1,2,1.0,0.0,0,95,196,25,2,cluster0
45,34.0,23.0,9,2.0,1.0,118,10,10,37,241476,92,0.0,1,0,0.0,0.0,0,83,172,28,3,cluster4
46,3.0,23.0,9,3.0,1.0,179,51,18,38,241476,92,0.0,1,0,1.0,0.0,0,89,170,31,3,cluster2
47,15.0,23.0,9,5.0,1.0,291,31,12,40,241476,92,0.0,1,1,1.0,0.0,1,73,171,25,4,cluster0
48,20.0,22.0,9,6.0,1.0,260,50,11,36,241476,92,0.0,1,4,1.0,0.0,0,65,168,23,8,cluster0
49,15.0,14.0,9,2.0,4.0,291,31,12,40,241476,92,0.0,1,1,1.0,0.0,1,73,171,25,32,cluster0
50,20.0,0.0,9,2.0,4.0,260,50,11,36,241476,92,1.0,1,4,1.0,0.0,0,65,168,23,0,cluster1
51,29.0,0.0,9,2.0,4.0,225,26,9,28,241476,92,1.0,1,1,0.0,0.0,2,69,169,24,0,cluster1
52,28.0,23.0,9,3.0,4.0,225,26,9,28,241476,92,0.0,1,1,0.0,0.0,2,69,169,24,2,cluster4
53,34.0,23.0,9,3.0,4.0,118,10,10,37,241476,92,0.0,1,0,0.0,0.0,0,83,172,28,2,cluster4
54,11.0,0.0,9,3.0,4.0,289,36,13,33,241476,92,1.0,1,2,1.0,0.0,1,90,172,30,0,cluster1
55,36.0,0.0,9,3.0,4.0,118,13,18,50,241476,92,1.0,1,1,1.0,0.0,0,98,178,31,0,cluster1
56,28.0,18.0,9,4.0,4.0,225,26,9,28,241476,92,0.0,1,1,0.0,0.0,2,69,169,24,3,cluster4
57,3.0,23.0,9,4.0,4.0,179,51,18,38,241476,92,0.0,1,0,1.0,0.0,0,89,170,31,3,cluster2
58,13.0,0.0,9,4.0,4.0,369,17,12,31,241476,92,1.0,1,3,1.0,0.0,0,70,169,25,0,cluster1
59,33.0,23.0,9,6.0,4.0,248,25,14,47,241476,92,0.0,1,2,0.0,0.0,1,86,165,32,1,cluster4
60,3.0,23.0,9,6.0,4.0,179,51,18,38,241476,92,0.0,1,0,1.0,0.0,0,89,170,31,3,cluster2
61,20.0,23.0,9,6.0,4.0,260,50,11,36,241476,92,0.0,1,4,1.0,0.0,0,65,168,23,4,cluster0
62,3.0,23.0,10,3.0,4.0,179,51,18,38,253465,93,0.0,1,0,1.0,0.0,0,89,170,31,3,cluster2
63,34.0,23.0,10,3.0,4.0,118,10,10,37,253465,93,0.0,1,0,0.0,0.0,0,83,172,28,3,cluster4
64,36.0,0.0,10,4.0,4.0,118,13,18,50,253465,93,1.0,1,1,1.0,0.0,0,98,178,31,0,cluster1
65,22.0,23.0,10,5.0,4.0,179,26,9,30,253465,93,0.0,3,0,0.0,0.0,0,56,171,19,1,cluster4
66,3.0,23.0,10,6.0,4.0,179,51,18,38,253465,93,0.0,1,0,1.0,0.0,0,89,170,31,3,cluster2
67,28.0,23.0,10,6.0,4.0,225,26,9,28,253465,93,0.0,1,1,0.0,0.0,2,69,169,24,3,cluster4
68,34.0,23.0,10,3.0,4.0,118,10,10,37,253465,93,0.0,1,0,0.0,0.0,0,83,172,28,3,cluster4
69,28.0,23.0,10,4.0,4.0,225,26,9,28,253465,93,0.0,1,1,0.0,0.0,2,69,169,24,2,cluster4
70,33.0,23.0,10,4.0,4.0,248,25,14,47,253465,93,0.0,1,2,0.0,0.0,1,86,165,32,2,cluster4
71,15.0,23.0,10,5.0,4.0,291,31,12,40,253465,93,0.0,1,1,1.0,0.0,1,73,171,25,5,cluster0
72,3.0,23.0,10,4.0,4.0,179,51,18,38,253465,93,0.0,1,0,1.0,0.0,0,89,170,31,8,cluster2
73,28.0,23.0,10,4.0,4.0,225,26,9,28,253465,93,0.0,1,1,0.0,0.0,2,69,169,24,3,cluster4
74,20.0,19.0,10,5.0,4.0,260,50,11,36,253465,93,0.0,1,4,1.0,0.0,0,65,168,23,16,cluster0
75,15.0,14.0,10,3.0,4.0,291,31,12,40,253465,93,0.0,1,1,1.0,0.0,1,73,171,25,8,cluster0
76,28.0,28.0,10,3.0,4.0,225,26,9,28,253465,93,0.0,1,1,0.0,0.0,2,69,169,24,2,cluster4
77,11.0,26.0,10,4.0,4.0,289,36,13,33,253465,93,0.0,1,2,1.0,0.0,1,90,172,30,8,cluster0
78,10.0,23.0,10,6.0,4.0,361,52,3,28,253465,93,0.0,1,1,1.0,0.0,4,80,172,27,1,cluster0
79,20.0,28.0,10,6.0,4.0,260,50,11,36,253465,93,0.0,1,4,1.0,0.0,0,65,168,23,3,cluster0
80,3.0,23.0,11,5.0,4.0,179,51,18,38,306345,93,0.0,1,0,1.0,0.0,0,89,170,31,1,cluster2
81,28.0,23.0,11,4.0,4.0,225,26,9,28,306345,93,0.0,1,1,0.0,0.0,2,69,169,24,1,cluster4
82,3.0,13.0,11,5.0,4.0,179,51,18,38,306345,93,0.0,1,0,1.0,0.0,0,89,170,31,8,cluster2
83,17.0,21.0,11,5.0,4.0,179,22,17,40,306345,93,0.0,2,2,0.0,1.0,0,63,170,22,8,cluster3
84,15.0,23.0,11,5.0,4.0,291,31,12,40,306345,93,0.0,1,1,1.0,0.0,1,73,171,25,5,cluster0
85,14.0,10.0,11,2.0,4.0,155,12,14,34,306345,93,0.0,1,2,1.0,0.0,0,95,196,25,32,cluster0
86,6.0,22.0,11,2.0,4.0,189,29,13,33,306345,93,0.0,1,2,0.0,0.0,2,69,167,25,8,cluster4
87,15.0,14.0,11,2.0,4.0,291,31,12,40,306345,93,0.0,1,1,1.0,0.0,1,73,171,25,40,cluster0
88,28.0,23.0,11,4.0,4.0,225,26,9,28,306345,93,0.0,1,1,0.0,0.0,2,69,169,24,1,cluster4
89,14.0,6.0,11,6.0,4.0,155,12,14,34,306345,93,0.0,1,2,1.0,0.0,0,95,196,25,8,cluster0
90,28.0,23.0,11,4.0,4.0,225,26,9,28,306345,93,0.0,1,1,0.0,0.0,2,69,169,24,3,cluster4
91,17.0,21.0,11,4.0,4.0,179,22,17,40,306345,93,0.0,2,2,0.0,1.0,0,63,170,22,8,cluster3
92,28.0,13.0,11,6.0,4.0,225,26,9,28,306345,93,0.0,1,1,0.0,0.0,2,69,169,24,3,cluster4
93,20.0,28.0,11,6.0,4.0,260,50,11,36,306345,93,0.0,1,4,1.0,0.0,0,65,168,23,4,cluster0
94,33.0,28.0,11,2.0,4.0,248,25,14,47,306345,93,0.0,1,2,0.0,0.0,1,86,165,32,1,cluster4
95,28.0,28.0,11,3.0,4.0,225,26,9,28,306345,93,0.0,1,1,0.0,0.0,2,69,169,24,3,cluster4
96,11.0,7.0,11,4.0,4.0,289,36,13,33,306345,93,0.0,1,2,1.0,0.0,1,90,172,30,24,cluster0
97,15.0,23.0,11,5.0,4.0,291,31,12,40,306345,93,0.0,1,1,1.0,0.0,1,73,171,25,3,cluster0
98,33.0,23.0,12,3.0,4.0,248,25,14,47,261306,97,0.0,1,2,0.0,0.0,1,86,165,32,1,cluster4
99,34.0,19.0,12,3.0,4.0,118,10,10,37,261306,97,0.0,1,0,0.0,0.0,0,83,172,28,64,cluster4
100,36.0,23.0,12,4.0,4.0,118,13,18,50,261306,97,0.0,1,1,1.0,0.0,0,98,178,31,2,cluster2
101,1.0,26.0,12,4.0,4.0,235,11,14,37,261306,97,0.0,3,1,0.0,0.0,1,88,172,29,8,cluster4
102,28.0,23.0,12,5.0,4.0,225,26,9,28,261306,97,0.0,1,1,0.0,0.0,2,69,169,24,2,cluster4
103,20.0,26.0,12,6.0,4.0,260,50,11,36,261306,97,0.0,1,4,1.0,0.0,0,65,168,23,8,cluster0
104,34.0,19.0,12,3.0,4.0,118,10,10,37,261306,97,0.0,1,0,0.0,0.0,0,83,172,28,56,cluster4
105,10.0,22.0,12,4.0,4.0,361,52,3,28,261306,97,0.0,1,1,1.0,0.0,4,80,172,27,8,cluster0
106,28.0,28.0,12,5.0,4.0,225,26,9,28,261306,97,0.0,1,1,0.0,0.0,2,69,169,24,3,cluster4
107,20.0,28.0,12,6.0,4.0,260,50,11,36,261306,97,0.0,1,4,1.0,0.0,0,65,168,23,3,cluster0
108,28.0,23.0,12,3.0,4.0,225,26,9,28,261306,97,0.0,1,1,0.0,0.0,2,69,169,24,2,cluster4
109,10.0,22.0,12,4.0,4.0,361,52,3,28,261306,97,0.0,1,1,1.0,0.0,4,80,172,27,8,cluster0
110,34.0,27.0,12,6.0,4.0,118,10,10,37,261306,97,0.0,1,0,0.0,0.0,0,83,172,28,2,cluster4
111,24.0,19.0,12,6.0,2.0,246,25,16,41,261306,97,0.0,1,0,1.0,0.0,0,67,170,23,8,cluster0
112,28.0,23.0,12,6.0,2.0,225,26,9,28,261306,97,0.0,1,1,0.0,0.0,2,69,169,24,2,cluster4
113,28.0,23.0,1,4.0,2.0,225,26,9,28,308593,95,0.0,1,1,0.0,0.0,2,69,169,24,1,cluster4
114,34.0,19.0,1,2.0,2.0,118,10,10,37,308593,95,0.0,1,0,0.0,0.0,0,83,172,28,1,cluster4
115,34.0,27.0,1,3.0,2.0,118,10,10,37,308593,95,0.0,1,0,0.0,0.0,0,83,172,28,1,cluster4
116,14.0,18.0,1,3.0,2.0,155,12,14,34,308593,95,0.0,1,2,1.0,0.0,0,95,196,25,8,cluster0
117,28.0,27.0,1,4.0,2.0,225,26,9,28,308593,95,0.0,1,1,0.0,0.0,2,69,169,24,2,cluster4
118,27.0,23.0,1,5.0,2.0,184,42,7,27,308593,95,0.0,1,0,0.0,0.0,0,58,167,21,2,cluster4
119,28.0,28.0,1,5.0,2.0,225,26,9,28,308593,95,0.0,1,1,0.0,0.0,2,69,169,24,2,cluster4
120,28.0,27.0,1,6.0,2.0,225,26,9,28,308593,95,0.0,1,1,0.0,0.0,2,69,169,24,1,cluster4
121,34.0,27.0,1,2.0,2.0,118,10,10,37,308593,95,0.0,1,0,0.0,0.0,0,83,172,28,2,cluster4
122,28.0,27.0,1,3.0,2.0,225,26,9,28,308593,95,0.0,1,1,0.0,0.0,2,69,169,24,2,cluster4
123,34.0,27.0,1,3.0,2.0,118,10,10,37,308593,95,0.0,1,0,0.0,0.0,0,83,172,28,2,cluster4
124,34.0,27.0,1,4.0,2.0,118,10,10,37,308593,95,0.0,1,0,0.0,0.0,0,83,172,28,2,cluster4
125,34.0,27.0,1,5.0,2.0,118,10,10,37,308593,95,0.0,1,0,0.0,0.0,0,83,172,28,2,cluster4
126,34.0,27.0,1,6.0,2.0,118,10,10,37,308593,95,0.0,1,0,0.0,0.0,0,83,172,28,2,cluster4
127,34.0,27.0,1,2.0,2.0,118,10,10,37,308593,95,0.0,1,0,0.0,0.0,0,83,172,28,2,cluster4
128,34.0,27.0,1,3.0,2.0,118,10,10,37,308593,95,0.0,1,0,0.0,0.0,0,83,172,28,2,cluster4
129,22.0,18.0,1,3.0,2.0,179,26,9,30,308593,95,0.0,3,0,0.0,0.0,0,56,171,19,8,cluster4
130,11.0,18.0,1,3.0,2.0,289,36,13,33,308593,95,0.0,1,2,1.0,0.0,1,90,172,30,8,cluster0
131,34.0,27.0,1,4.0,2.0,118,10,10,37,308593,95,0.0,1,0,0.0,0.0,0,83,172,28,2,cluster4
132,27.0,23.0,1,5.0,2.0,184,42,7,27,308593,95,0.0,1,0,0.0,0.0,0,58,167,21,2,cluster4
133,34.0,27.0,1,5.0,2.0,118,10,10,37,308593,95,0.0,1,0,0.0,0.0,0,83,172,28,2,cluster4
134,34.0,27.0,1,2.0,2.0,118,10,10,37,308593,95,0.0,1,0,0.0,0.0,0,83,172,28,0,cluster4
135,28.0,23.0,1,3.0,2.0,225,26,9,28,308593,95,0.0,1,1,0.0,0.0,2,69,169,24,1,cluster4
136,11.0,22.0,1,5.0,2.0,289,36,13,33,308593,95,0.0,1,2,1.0,0.0,1,90,172,30,3,cluster0
137,27.0,23.0,2,6.0,2.0,184,42,7,27,302585,99,0.0,1,0,0.0,0.0,0,58,167,21,1,cluster4
138,24.0,1.0,2,4.0,2.0,246,25,16,41,302585,99,0.0,1,0,1.0,0.0,0,67,170,23,8,cluster0
139,3.0,11.0,2,4.0,2.0,179,51,18,38,302585,99,0.0,1,0,1.0,0.0,0,89,170,31,8,cluster2
140,14.0,28.0,2,5.0,2.0,155,12,14,34,302585,99,0.0,1,2,1.0,0.0,0,95,196,25,2,cluster0
141,6.0,23.0,2,5.0,2.0,189,29,13,33,302585,99,0.0,1,2,0.0,0.0,2,69,167,25,8,cluster4
142,20.0,28.0,2,6.0,2.0,260,50,11,36,302585,99,0.0,1,4,1.0,0.0,0,65,168,23,2,cluster0
143,11.0,22.0,2,6.0,2.0,289,36,13,33,302585,99,0.0,1,2,1.0,0.0,1,90,172,30,8,cluster0
144,31.0,11.0,2,2.0,2.0,388,15,9,50,302585,99,0.0,1,0,0.0,0.0,0,76,178,24,8,cluster4
145,31.0,1.0,2,3.0,2.0,388,15,9,50,302585,99,0.0,1,0,0.0,0.0,0,76,178,24,8,cluster4
146,28.0,28.0,2,2.0,2.0,225,26,9,28,302585,99,0.0,1,1,0.0,0.0,2,69,169,24,2,cluster4
147,28.0,23.0,2,3.0,2.0,225,26,9,28,302585,99,0.0,1,1,0.0,0.0,2,69,169,24,2,cluster4
148,22.0,23.0,2,3.0,2.0,179,26,9,30,302585,99,0.0,3,0,0.0,0.0,0,56,171,19,1,cluster4
149,27.0,23.0,2,3.0,2.0,184,42,7,27,302585,99,0.0,1,0,0.0,0.0,0,58,167,21,8,cluster4
150,28.0,25.0,2,5.0,2.0,225,26,9,28,302585,99,0.0,1,1,0.0,0.0,2,69,169,24,3,cluster4
151,18.0,18.0,2,2.0,2.0,330,16,4,28,302585,99,0.0,2,0,0.0,0.0,0,84,182,25,8,cluster4
152,18.0,23.0,2,3.0,2.0,330,16,4,28,302585,99,0.0,2,0,0.0,0.0,0,84,182,25,1,cluster4
153,28.0,23.0,2,4.0,2.0,225,26,9,28,302585,99,0.0,1,1,0.0,0.0,2,69,169,24,1,cluster4
154,6.0,19.0,2,5.0,2.0,189,29,13,33,302585,99,0.0,1,2,0.0,0.0,2,69,167,25,8,cluster4
155,19.0,28.0,3,3.0,2.0,291,50,12,32,343253,95,0.0,1,0,1.0,0.0,0,65,169,23,2,cluster0
156,20.0,19.0,3,3.0,2.0,260,50,11,36,343253,95,0.0,1,4,1.0,0.0,0,65,168,23,8,cluster0
157,30.0,19.0,3,3.0,2.0,157,27,6,29,343253,95,0.0,1,0,1.0,1.0,0,75,185,22,3,cluster3
158,17.0,17.0,3,3.0,2.0,179,22,17,40,343253,95,0.0,2,2,0.0,1.0,0,63,170,22,8,cluster3
159,15.0,22.0,3,4.0,2.0,291,31,12,40,343253,95,0.0,1,1,1.0,0.0,1,73,171,25,8,cluster0
160,20.0,13.0,3,4.0,2.0,260,50,11,36,343253,95,0.0,1,4,1.0,0.0,0,65,168,23,8,cluster0
161,22.0,13.0,3,5.0,2.0,179,26,9,30,343253,95,0.0,3,0,0.0,0.0,0,56,171,19,8,cluster4
162,33.0,14.0,3,6.0,2.0,248,25,14,47,343253,95,0.0,1,2,0.0,0.0,1,86,165,32,3,cluster4
163,20.0,13.0,3,6.0,2.0,260,50,11,36,343253,95,0.0,1,4,1.0,0.0,0,65,168,23,40,cluster0
164,17.0,11.0,3,2.0,2.0,179,22,17,40,343253,95,0.0,2,2,0.0,1.0,0,63,170,22,40,cluster3
165,14.0,1.0,3,2.0,2.0,155,12,14,34,343253,95,0.0,1,2,1.0,0.0,0,95,196,25,16,cluster0
166,20.0,26.0,3,2.0,2.0,260,50,11,36,343253,95,0.0,1,4,1.0,0.0,0,65,168,23,16,cluster0
167,14.0,13.0,3,3.0,2.0,155,12,14,34,343253,95,0.0,1,2,1.0,0.0,0,95,196,25,8,cluster0
168,11.0,6.0,3,5.0,2.0,289,36,13,33,343253,95,0.0,1,2,1.0,0.0,1,90,172,30,8,cluster0
169,17.0,8.0,3,5.0,2.0,179,22,17,40,343253,95,0.0,2,2,0.0,1.0,0,63,170,22,8,cluster3
170,20.0,28.0,3,6.0,2.0,260,50,11,36,343253,95,0.0,1,4,1.0,0.0,0,65,168,23,4,cluster0
171,28.0,23.0,3,6.0,2.0,225,26,9,28,343253,95,0.0,1,1,0.0,0.0,2,69,169,24,1,cluster4
172,7.0,14.0,3,2.0,2.0,279,5,14,39,343253,95,0.0,1,2,1.0,1.0,0,68,168,24,8,cluster3
173,3.0,13.0,3,3.0,2.0,179,51,18,38,343253,95,0.0,1,0,1.0,0.0,0,89,170,31,24,cluster2
174,28.0,23.0,3,4.0,2.0,225,26,9,28,343253,95,0.0,1,1,0.0,0.0,2,69,169,24,2,cluster4
175,28.0,11.0,3,2.0,3.0,225,26,9,28,343253,95,0.0,1,1,0.0,0.0,2,69,169,24,8,cluster4
176,22.0,13.0,3,2.0,3.0,179,26,9,30,343253,95,0.0,3,0,0.0,0.0,0,56,171,19,1,cluster4
177,28.0,11.0,3,3.0,3.0,225,26,9,28,343253,95,0.0,1,1,0.0,0.0,2,69,169,24,8,cluster4
178,28.0,11.0,3,4.0,3.0,225,26,9,28,343253,95,0.0,1,1,0.0,0.0,2,69,169,24,16,cluster4
179,3.0,13.0,3,4.0,3.0,179,51,18,38,343253,95,0.0,1,0,1.0,0.0,0,89,170,31,3,cluster2
180,7.0,14.0,3,5.0,3.0,279,5,14,39,343253,95,0.0,1,2,1.0,1.0,0,68,168,24,16,cluster3
181,28.0,28.0,3,6.0,3.0,225,26,9,28,343253,95,0.0,1,1,0.0,0.0,2,69,169,24,2,cluster4
182,33.0,14.0,3,6.0,3.0,248,25,14,47,343253,95,0.0,1,2,0.0,0.0,1,86,165,32,3,cluster4
183,28.0,28.0,3,2.0,3.0,225,26,9,28,343253,95,0.0,1,1,0.0,0.0,2,69,169,24,1,cluster4
184,15.0,28.0,4,4.0,3.0,291,31,12,40,326452,96,0.0,1,1,1.0,0.0,1,73,171,25,1,cluster0
185,28.0,23.0,4,4.0,3.0,225,26,9,28,326452,96,0.0,1,1,0.0,0.0,2,69,169,24,1,cluster4
186,14.0,28.0,4,3.0,3.0,155,12,14,34,326452,96,0.0,1,2,1.0,0.0,0,95,196,25,1,cluster0
187,24.0,13.0,4,4.0,3.0,246,25,16,41,326452,96,0.0,1,0,1.0,0.0,0,67,170,23,24,cluster2
188,14.0,23.0,4,5.0,3.0,155,12,14,34,326452,96,0.0,1,2,1.0,0.0,0,95,196,25,1,cluster0
189,28.0,28.0,4,6.0,3.0,225,26,9,28,326452,96,0.0,1,1,0.0,0.0,2,69,169,24,2,cluster4
190,20.0,28.0,4,6.0,3.0,260,50,11,36,326452,96,0.0,1,4,1.0,0.0,0,65,168,23,4,cluster0
191,3.0,13.0,4,4.0,3.0,179,51,18,38,326452,96,0.0,1,0,1.0,0.0,0,89,170,31,24,cluster2
192,36.0,23.0,4,5.0,3.0,118,13,18,50,326452,96,0.0,1,1,1.0,0.0,0,98,178,31,1,cluster2
193,15.0,23.0,4,6.0,3.0,291,31,12,40,326452,96,0.0,1,1,1.0,0.0,1,73,171,25,3,cluster0
194,24.0,14.0,4,6.0,3.0,246,25,16,41,326452,96,0.0,1,0,1.0,0.0,0,67,170,23,8,cluster0
195,15.0,28.0,4,6.0,3.0,291,31,12,40,326452,96,0.0,1,1,1.0,0.0,1,73,171,25,1,cluster0
196,33.0,28.0,4,6.0,3.0,248,25,14,47,326452,96,0.0,1,2,0.0,0.0,1,86,165,32,8,cluster4
